碧文圆顶夜深缝	扇裁月魄羞难掩
扇裁月魄羞难掩	车走雷声语未通
车走雷声语未通	曾是寂寥金烬暗
曾是寂寥金烬暗	断无消息石榴红
断无消息石榴红	斑骓只系垂杨岸
斑骓只系垂杨岸	何处西南待好风
何处西南待好风	重帏深下莫愁堂
重帏深下莫愁堂	卧后清宵细细长
卧后清宵细细长	神女生涯元是梦
神女生涯元是梦	小姑居处本无郎
小姑居处本无郎	风波不信菱枝弱
风波不信菱枝弱	月露谁教桂叶香
月露谁教桂叶香	直道相思了无益
直道相思了无益	未妨惆怅是清狂
向晚意不适	驱车登古原
驱车登古原	夕阳无限好
夕阳无限好	只是近黄昏
君问归期未有期	巴山夜雨涨秋池
巴山夜雨涨秋池	何当共剪西窗烛
何当共剪西窗烛	却话巴山夜雨时
为有云屏无限娇	凤城寒尽怕春宵
凤城寒尽怕春宵	无端嫁得金龟婿
无端嫁得金龟婿	辜负香衾事早朝
云母屏风烛影深	长河渐落晓星沉
长河渐落晓星沉	嫦娥应悔偷灵药
嫦娥应悔偷灵药	碧海青天夜夜心
葡萄美酒夜光杯	欲饮琵琶马上催
欲饮琵琶马上催	醉卧沙场君莫笑
醉卧沙场君莫笑	古来征战几人回
红叶晚萧萧	长亭酒一瓢
长亭酒一瓢	残云归太华
残云归太华	疏雨过中条
疏雨过中条	树色随关迥
树色随关迥	河声入海遥
河声入海遥	帝乡明日到
帝乡明日到	犹自梦渔樵
遥夜泛清瑟	西风生翠萝
西风生翠萝	残萤栖玉露
残萤栖玉露	早雁拂金河
早雁拂金河	高树晓还密
高树晓还密	远山晴更多
远山晴更多	淮南一叶下
淮南一叶下	自觉洞庭波
故国三千里	深宫二十年
深宫二十年	一声何满子
一声何满子	双泪落君前
禁门宫树月痕过	媚眼惟看宿鹭窠
媚眼惟看宿鹭窠	斜拔玉钗灯影畔
斜拔玉钗灯影畔	剔开红焰救飞蛾
日光斜照集灵台	红树花迎晓露开
红树花迎晓露开	昨夜上皇新授箓
昨夜上皇新授箓	太真含笑入帘来
太真含笑入帘来	虢国夫人承主恩
虢国夫人承主恩	平明骑马入宫门
平明骑马入宫门	却嫌脂粉污颜色
却嫌脂粉污颜色	淡扫蛾眉朝至尊
金陵津渡小山楼	一宿行人自可愁
一宿行人自可愁	潮落夜江斜月里
潮落夜江斜月里	两三星火是瓜洲
前不见古人	后不见来者
后不见来者	念天地之悠悠
念天地之悠悠	独怆然而涕下
昔人已乘黄鹤去	此地空余黄鹤楼
此地空余黄鹤楼	黄鹤一去不复返
黄鹤一去不复返	白云千载空悠悠
白云千载空悠悠	晴川历历汉阳树
晴川历历汉阳树	芳草萋萋鹦鹉洲
芳草萋萋鹦鹉洲	日暮乡关何处是
日暮乡关何处是	烟波江上使人愁
烟波江上使人愁	日暮乡关何处是
日暮乡关何处是	烟波江上使人愁
誓扫匈奴不顾身	五千貂锦丧胡尘
五千貂锦丧胡尘	可怜无定河边骨
可怜无定河边骨	犹是春闺梦里人
三日入厨下	洗手作羹汤
洗手作羹汤	未谙姑食性
未谙姑食性	先遣小姑尝
